node1,node2,node3
0,0,0
4480,4249,3787
673,234,442
0,439,0
0,0,0
884,1350,1350
911,911,676
1558,1554,1558
0,0,0
442,677,677
1346,884,1805
1119,1354,660
677,677,442
673,442,1132
677,442,218
442,677,677
0,0,0
0,0,0
459,442,915
1561,1575,1793
891,1128,897
884,1350,1350
2003,1799,2249
1350,1551,1340
1809,1792,1340
1337,1354,901
459,0,456
660,1119,1354
884,1354,1116
0,0,0
884,915,1136
0,439,218
1796,1796,1796
238,221,459
439,221,218
673,673,442
1354,884,1354
677,0,677
1350,1561,1115
680,677,677
898,677,442
1354,1119,1561
1337,2027,1115
442,673,673
677,677,442
442,677,677
1578,1115,1571
660,1136,898
2495,1371,2713
2906,3575,2218
2687,3146,2221
677,895,442
1119,1354,1119
2031,1561,1796
0,0,0
2034,1809,1339
439,895,660
898,915,901
2252,2000,2014
442,677,677
221,0,0
221,677,677
1119,1119,1588
673,442,439
1561,1792,2027
1813,1119,1119
1102,2027,1792
2031,1561,1578
1119,1354,1337
1128,673,442
1133,1115,901
439,677,660
0,0,0
1354,915,884
1574,2009,1571
218,218,221
677,442,677
442,459,677
0,218,0
1115,1119,1350
677,677,442
0,0,0
442,677,677
1357,1354,901
1558,1561,2249
1354,1119,901
897,901,456
2691,2456,3149
677,442,674
677,677,881
1119,1119,918
677,442,1113
1119,1136,459
442,895,1337
677,677,442
3827,3122,3827
1354,1136,884
915,1116,901
1116,663,895
1354,1119,1119
677,677,442
677,442,677
1115,1119,1350
677,442,677
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
