node1,node2,node3,node4,node5,node6,node7,node8
0,0,0,0,0,0,0,0
2470,2912,663,2470,3835,2912,4082,4095
3432,0,884,221,3822,234,2067,5200
13871,0,0,0,8086,0,234,2964
1391,0,0,7150,7007,0,16549,936
0,0,0,18837,234,0,455,0
0,40833,0,4771,0,0,0,0
234,702,0,0,234,26364,234,0
0,468,0,702,0,11466,0,0
0,234,0,234,0,15496,0,0
0,0,0,0,0,936,0,0
0,14612,0,0,0,936,42185,0
0,9594,0,0,0,234,702,0
0,234,0,0,0,0,468,0
0,0,0,0,0,468,2665,0
0,0,0,0,0,234,234,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1872,468,0
0,0,0,0,0,13143,0,0
0,0,0,4212,0,689,0,0
0,0,0,26338,75985,468,234,0
0,0,0,40547,689,234,0,0
0,0,0,234,0,0,0,0
0,234,0,468,234,234,234,0
0,0,0,0,0,0,0,0
0,0,0,234,234,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
106678,0,0,0,0,0,0,0
468,0,0,234,234,0,0,0
468,0,0,63119,0,0,0,0
0,0,169303,455,0,0,0,190068
0,0,234,234,0,0,0,0
234,0,0,234,120624,0,0,234
0,0,234,0,0,0,0,0
468,0,0,468,468,0,176574,702
0,0,468,234,702,0,702,0
0,0,234,0,0,0,0,234
0,0,0,0,234,0,702,0
0,0,89964,0,234,0,702,234
0,0,1404,0,0,0,234,0
0,0,234,0,0,0,13356,0
0,0,234,0,0,0,1174,74384
0,0,4307,0,0,0,0,689
0,0,468,0,2977,0,0,706
0,0,14681,0,54236,248351,0,0
0,0,40361,0,12675,3549,0,0
0,0,234,0,40378,472,0,234
229787,0,234,0,0,0,0,0
468,0,234,0,702,234,0,0
234,0,0,0,234,234,0,0
234,0,234,0,234,0,65933,0
702,0,0,0,234,234,468,0
0,0,234,0,234,0,476,0
0,0,0,0,0,0,0,0
234,0,0,0,6643,0,234,61191
0,0,0,0,944,0,0,41275
0,0,0,0,30915,0,0,1586
23731,0,0,0,702,3549,234,11197
14703,0,0,0,14728,15660,0,6222
3141,0,0,0,238,22137,0,234
234,0,0,0,0,468,0,238
472,0,0,0,0,40704,0,0
10023,0,0,0,0,468,0,0
234,0,0,0,0,0,0,0
221,0,0,0,0,3137,0,0
234,0,0,0,0,0,0,0
472,0,0,0,0,944,0,0
0,0,0,0,0,702,0,0
234,0,0,0,0,234,0,234
468,0,0,0,57363,468,0,0
0,0,110839,0,0,468,133094,43557
0,0,468,0,468,234,468,32715
0,116396,468,0,940,0,706,476
0,160217,234,0,0,0,0,234
0,50665,24673,0,234,0,468,468
0,234,234,0,0,234,234,0
0,0,468,0,25005,0,0,0
0,0,468,0,4047,0,0,0
0,0,0,0,234,137414,0,0
0,0,0,0,0,944,0,0
24075,0,0,0,0,0,0,0
51546,0,0,0,0,238,0,0
68496,0,0,0,234,472,0,0
45439,0,94369,0,0,234,0,0
234,0,35422,0,0,0,0,0
234,0,8120,0,0,234,0,0
936,257516,234,0,0,468,160247,0
234,10110,468,0,0,0,234,0
0,702,468,0,0,0,468,0
234,0,0,0,0,0,0,171190
0,468,234,0,0,0,468,38827
0,0,0,0,0,0,0,706
89319,0,0,0,0,0,0,0
710,0,0,0,0,0,0,0
936,0,0,115204,0,0,0,0
0,0,0,54521,0,0,0,0
234,0,0,129372,0,0,0,0
0,0,0,29887,0,0,0,0
0,0,0,23698,0,0,0,0
0,0,0,64191,0,0,0,0
706,0,0,53507,24310,0,0,0
706,0,0,73718,23200,0,0,0
47980,0,0,21519,99096,0,0,468
472,34471,0,27443,82183,0,0,84141
33730,48235,0,67055,27222,0,0,6326
39130,66826,0,29657,66343,0,0,83663
31217,923,0,6885,66497,0,0,663
